"Id","StoreId","DayOfWeek","StartTime","EndTime","InfoTextDe","InfoTextEn","ShowInfoTextInsteadOfTime"
3075893,"7493339d-40ca-4475-892f-42ecbbbba614",0,"2021-09-23 15:00:00","2021-09-23 21:00:00",NULL,NULL,False
3084448,"99e05b57-c0b6-4a12-8fe7-a5b65827f326",2,"2021-09-23 11:00:00","2021-09-23 20:00:00",NULL,NULL,False
3075894,"7493339d-40ca-4475-892f-42ecbbbba614",6,"2021-09-23 17:00:00","2021-09-23 21:00:00",NULL,NULL,False
3075895,"7493339d-40ca-4475-892f-42ecbbbba614",5,"2021-09-23 17:00:00","2021-09-23 21:00:00",NULL,NULL,False
3075896,"7493339d-40ca-4475-892f-42ecbbbba614",5,"2021-09-23 12:00:00","2021-09-23 15:00:00",NULL,NULL,False
3075897,"7493339d-40ca-4475-892f-42ecbbbba614",4,"2021-09-23 17:00:00","2021-09-23 21:00:00",NULL,NULL,False
3075898,"7493339d-40ca-4475-892f-42ecbbbba614",3,"2021-09-23 17:00:00","2021-09-23 21:00:00",NULL,NULL,False
3232545,"a67741f9-fe10-4ee7-8df0-346076be872b",0,"2021-10-22 11:15:00","2021-10-22 22:30:00",NULL,NULL,False
3084449,"99e05b57-c0b6-4a12-8fe7-a5b65827f326",1,"2021-09-23 11:00:00","2021-09-23 20:00:00",NULL,NULL,False
3232546,"a67741f9-fe10-4ee7-8df0-346076be872b",1,"2021-10-22 11:15:00","2021-10-22 22:30:00",NULL,NULL,False
3223587,"d81c2703-dbc6-4cb5-b693-0f62bfff88d3",5,"2021-10-20 11:00:00","2021-10-20 20:00:00",NULL,NULL,False
3074121,"d4070750-ca29-46c2-8eb0-8f615bc6936a",6,"2021-09-23 12:00:00","2021-09-23 20:00:00",NULL,NULL,False
3132071,"903619c1-64b9-4683-8372-798779a6f19e",5,"2021-10-02 08:30:00","2021-10-02 15:00:00",NULL,NULL,False
